train_acc,train_loss,val_acc,val_loss
0.009600000000000001,4.609349,0.0104,4.607242
0.009326315789473684,4.6068563,0.0092,4.606588
0.009747368421052631,4.606221,0.0084,4.606326
0.009621052631578947,4.6059957,0.0076,4.606741
0.009873684210526314,4.605887,0.0076,4.6068487
0.009157894736842104,4.605854,0.008,4.6074386
0.009494736842105262,4.605796,0.007200000000000001,4.6064878
0.009600000000000001,4.605741,0.0072,4.606505
0.00936842105263158,4.6058245,0.0076,4.606772
0.009094736842105263,4.6057224,0.007600000000000001,4.6064925
0.009052631578947368,4.605708,0.007200000000000001,4.606755
0.009978947368421053,4.6056848,0.007200000000000001,4.606873
0.01031578947368421,4.605694,0.0072,4.606756
0.009600000000000001,4.605764,0.0072,4.60702
0.010378947368421054,4.6056075,0.0064,4.607113
0.010189473684210526,4.6056967,0.0064,4.606931
0.009936842105263159,4.6056433,0.006400000000000001,4.606851
0.009578947368421055,4.60559,0.0064,4.6070685
0.009326315789473684,4.605725,0.008,4.6070356
0.010147368421052632,4.605615,0.009600000000000001,4.607088
0.00951578947368421,4.6056905,0.0076,4.6069484
0.009473684210526316,4.6056957,0.0072,4.606969
0.010105263157894739,4.6055593,0.0084,4.6068287
0.00911578947368421,4.605642,0.0076,4.6071067
0.009010526315789474,4.605629,0.008400000000000001,4.6067195
0.009600000000000001,4.6055818,0.0068,4.6069756
0.00856842105263158,4.6056814,0.009200000000000002,4.6064234
0.009389473684210524,4.6055684,0.0092,4.606711
0.009557894736842105,4.6056128,0.0072,4.6068525
0.009073684210526315,4.605692,0.0072,4.6068254
0.009642105263157895,4.605621,0.012,4.607088
0.010168421052631578,4.6056623,0.012000000000000002,4.6066766
0.009684210526315788,4.6055703,0.0072,4.6067033
0.00934736842105263,4.6055756,0.007200000000000001,4.6067586
0.010147368421052632,4.6055984,0.0072,4.6071563
0.009915789473684213,4.605523,0.007200000000000001,4.6071544
0.009557894736842105,4.6055365,0.007200000000000001,4.607269
0.009642105263157895,4.6055794,0.0072,4.60732
0.009494736842105262,4.605543,0.0072,4.607223
0.010042105263157896,4.60559,0.0072,4.607214
0.009305263157894737,4.605565,0.0072,4.6072364
0.009894736842105262,4.6055684,0.008,4.607135
0.008926315789473685,4.605588,0.008,4.607153
0.009621052631578949,4.6055207,0.0076,4.607368
0.009473684210526316,4.605557,0.008,4.607173
0.010063157894736842,4.6055107,0.006400000000000001,4.6069384
0.01002105263157895,4.6055346,0.0064,4.6069736
0.009915789473684211,4.6055684,0.0064,4.606828
0.009452631578947369,4.605485,0.008,4.607062
0.009515789473684212,4.605529,0.0076,4.606854
0.009031578947368423,4.6055264,0.008400000000000001,4.6067476
0.010273684210526313,4.6054554,0.008,4.606972
0.009536842105263158,4.6054974,0.0064,4.6067257
0.009536842105263158,4.605522,0.01,4.606618
0.008905263157894737,4.6054645,0.009600000000000001,4.606601
0.008926315789473685,4.6055427,0.008,4.6063747
0.010105263157894739,4.605515,0.008,4.606919
0.009768421052631579,4.605436,0.0096,4.607183
0.00983157894736842,4.605524,0.0076,4.60741
0.010126315789473685,4.6054673,0.0076,4.60747
0.009642105263157895,4.605466,0.0088,4.6072435
0.00985263157894737,4.6054964,0.007200000000000001,4.607093
0.009915789473684211,4.6054697,0.0072,4.6071153
0.009642105263157895,4.6055007,0.007200000000000001,4.6070027
0.009936842105263157,4.6055565,0.0084,4.607523
0.009747368421052631,4.6054964,0.009600000000000001,4.606981
0.009494736842105262,4.6055007,0.0076,4.607062
0.009326315789473684,4.6054716,0.0084,4.607049
0.008821052631578948,4.605509,0.0076,4.606966
0.00985263157894737,4.605491,0.006400000000000001,4.606999
0.009747368421052631,4.6054196,0.0084,4.607127
0.009305263157894737,4.605478,0.0072,4.6070466
0.009663157894736842,4.6054454,0.0076,4.607098
0.010126315789473685,4.605427,0.0076,4.6071315
0.009915789473684211,4.6054645,0.0088,4.6071835
0.009389473684210527,4.605428,0.0076,4.6072226
0.009873684210526316,4.6054683,0.0072,4.60719
0.009705263157894736,4.6054482,0.008400000000000001,4.6070967
0.009747368421052633,4.605454,0.0076,4.6068764
0.008884210526315791,4.6054835,0.008,4.607045
0.009810526315789474,4.6054387,0.008,4.6071386
0.010105263157894737,4.6054554,0.007200000000000001,4.6071515
0.009094736842105263,4.60548,0.0072,4.606811
0.009431578947368423,4.6054015,0.0072,4.6066833
0.009747368421052631,4.6054573,0.0104,4.606911
0.009515789473684212,4.6054807,0.0108,4.606777
0.009410526315789475,4.6054473,0.0076,4.6069503
0.009010526315789474,4.6054797,0.0092,4.606919
0.009578947368421055,4.6055026,0.0092,4.6070843
0.009578947368421055,4.605443,0.0068000000000000005,4.607148
0.009094736842105263,4.605512,0.008400000000000001,4.606989
0.009852631578947368,4.605424,0.009600000000000001,4.6070085
0.010378947368421052,4.605449,0.007200000000000001,4.60694
0.010168421052631578,4.6054606,0.0072,4.606731
0.0096,4.605389,0.0076,4.6065617
0.010189473684210526,4.6054826,0.006400000000000001,4.60674
0.009326315789473684,4.605445,0.006400000000000001,4.6069307
0.009978947368421053,4.6054416,0.0092,4.6069026
0.009663157894736842,4.605466,0.0064,4.606873
0.009368421052631578,4.605414,0.0064,4.6072283
